city,time,pm2_5,pm10,ozone
bengaluru,2025-12-11 00:00:00,50.9,53.3,119
bengaluru,2025-12-11 01:00:00,53.9,56.2,120
bengaluru,2025-12-11 02:00:00,57.5,59.8,120
bengaluru,2025-12-11 03:00:00,58.2,60.8,123
bengaluru,2025-12-11 04:00:00,53.4,56.7,135
bengaluru,2025-12-11 05:00:00,45.5,48.4,150
bengaluru,2025-12-11 06:00:00,40.7,43.1,160
bengaluru,2025-12-11 07:00:00,38.2,40.2,161
bengaluru,2025-12-11 08:00:00,36.4,38.5,157
bengaluru,2025-12-11 09:00:00,36.2,38.3,150
bengaluru,2025-12-11 10:00:00,36.8,38.9,141
bengaluru,2025-12-11 11:00:00,38.3,40.2,129
bengaluru,2025-12-11 12:00:00,41.9,43.4,116
bengaluru,2025-12-11 13:00:00,47.0,48.2,101
bengaluru,2025-12-11 14:00:00,50.5,51.6,86
bengaluru,2025-12-11 15:00:00,51.8,53.0,75
bengaluru,2025-12-11 16:00:00,52.4,53.4,72
bengaluru,2025-12-11 17:00:00,52.5,53.7,73
bengaluru,2025-12-11 18:00:00,51.7,52.9,75
bengaluru,2025-12-11 19:00:00,50.4,51.7,76
bengaluru,2025-12-11 20:00:00,49.8,51.1,77
bengaluru,2025-12-11 21:00:00,49.6,51.1,82
bengaluru,2025-12-11 22:00:00,50.6,52.2,93
bengaluru,2025-12-11 23:00:00,55.2,57.0,106
bengaluru,2025-12-12 00:00:00,55.1,56.8,116
bengaluru,2025-12-12 01:00:00,56.6,58.1,118
bengaluru,2025-12-12 02:00:00,57.7,59.6,116
bengaluru,2025-12-12 03:00:00,54.0,55.9,117
bengaluru,2025-12-12 04:00:00,50.2,52.2,125
bengaluru,2025-12-12 05:00:00,45.8,47.8,137
bengaluru,2025-12-12 06:00:00,39.9,42.1,145
bengaluru,2025-12-12 07:00:00,35.0,37.4,148
bengaluru,2025-12-12 08:00:00,30.9,33.2,148
bengaluru,2025-12-12 09:00:00,28.1,30.4,143
bengaluru,2025-12-12 10:00:00,26.8,29.0,129
bengaluru,2025-12-12 11:00:00,27.1,29.1,111
bengaluru,2025-12-12 12:00:00,32.8,34.3,92
bengaluru,2025-12-12 13:00:00,41.3,42.8,73
bengaluru,2025-12-12 14:00:00,44.2,45.5,55
bengaluru,2025-12-12 15:00:00,44.1,45.4,45
bengaluru,2025-12-12 16:00:00,43.7,44.8,48
bengaluru,2025-12-12 17:00:00,43.1,44.2,58
bengaluru,2025-12-12 18:00:00,42.0,43.1,68
bengaluru,2025-12-12 19:00:00,40.7,41.7,75
bengaluru,2025-12-12 20:00:00,39.8,40.6,82
bengaluru,2025-12-12 21:00:00,39.3,40.3,86
bengaluru,2025-12-12 22:00:00,39.3,40.4,87
bengaluru,2025-12-12 23:00:00,40.4,41.6,85
bengaluru,2025-12-13 00:00:00,44.1,45.5,81
bengaluru,2025-12-13 01:00:00,51.7,53.1,72
bengaluru,2025-12-13 02:00:00,55.9,57.0,60
bengaluru,2025-12-13 03:00:00,55.2,56.1,59
bengaluru,2025-12-13 04:00:00,34.8,37.7,77
bengaluru,2025-12-13 05:00:00,22.4,26.5,104
bengaluru,2025-12-13 06:00:00,16.6,20.4,126
bengaluru,2025-12-13 07:00:00,14.6,17.8,137
bengaluru,2025-12-13 08:00:00,13.9,16.6,143
bengaluru,2025-12-13 09:00:00,13.7,16.3,140
bengaluru,2025-12-13 10:00:00,13.6,16.1,125
bengaluru,2025-12-13 11:00:00,14.4,17.0,103
bengaluru,2025-12-13 12:00:00,22.1,24.4,81
bengaluru,2025-12-13 13:00:00,31.8,34.5,61
bengaluru,2025-12-13 14:00:00,34.8,37.7,42
bengaluru,2025-12-13 15:00:00,33.4,36.3,32
bengaluru,2025-12-13 16:00:00,31.7,34.7,37
bengaluru,2025-12-13 17:00:00,31.1,34.1,50
bengaluru,2025-12-13 18:00:00,30.3,33.3,63
bengaluru,2025-12-13 19:00:00,29.7,32.7,72
bengaluru,2025-12-13 20:00:00,30.6,33.4,81
bengaluru,2025-12-13 21:00:00,32.1,34.9,87
bengaluru,2025-12-13 22:00:00,34.0,36.8,89
bengaluru,2025-12-13 23:00:00,36.2,39.2,88
bengaluru,2025-12-14 00:00:00,39.1,42.3,85
bengaluru,2025-12-14 01:00:00,45.3,48.7,79
bengaluru,2025-12-14 02:00:00,50.8,53.9,71
bengaluru,2025-12-14 03:00:00,45.4,47.7,71
bengaluru,2025-12-14 04:00:00,31.9,34.7,86
bengaluru,2025-12-14 05:00:00,23.9,25.9,109
bengaluru,2025-12-14 06:00:00,19.2,21.1,126
bengaluru,2025-12-14 07:00:00,16.7,18.9,134
bengaluru,2025-12-14 08:00:00,15.9,18.3,136
bengaluru,2025-12-14 09:00:00,15.5,18.0,132
bengaluru,2025-12-14 10:00:00,15.8,18.0,120
bengaluru,2025-12-14 11:00:00,16.9,18.9,101
bengaluru,2025-12-14 12:00:00,23.3,24.9,83
bengaluru,2025-12-14 13:00:00,32.5,34.0,66
bengaluru,2025-12-14 14:00:00,36.6,38.0,49
bengaluru,2025-12-14 15:00:00,37.3,38.5,40
bengaluru,2025-12-14 16:00:00,37.3,38.4,45
bengaluru,2025-12-14 17:00:00,37.4,38.5,59
bengaluru,2025-12-14 18:00:00,37.3,38.3,70
