time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,15.1,52,3.3,2025-12-11,0,mild,14.059999999999999
2025-12-11 01:00:00,14.8,49,3.6,2025-12-11,1,mild,13.82
2025-12-11 02:00:00,14.4,48,3.9,2025-12-11,2,mild,13.440000000000001
2025-12-11 03:00:00,14.1,48,4.3,2025-12-11,3,mild,13.14
2025-12-11 04:00:00,13.8,49,4.7,2025-12-11,4,mild,12.82
2025-12-11 05:00:00,12.7,59,4.6,2025-12-11,5,mild,11.52
2025-12-11 06:00:00,12.3,61,5.0,2025-12-11,6,mild,11.08
2025-12-11 07:00:00,13.3,63,5.3,2025-12-11,7,mild,12.040000000000001
2025-12-11 08:00:00,17.6,60,5.3,2025-12-11,8,mild,16.400000000000002
2025-12-11 09:00:00,21.4,47,10.5,2025-12-11,9,warm,20.459999999999997
2025-12-11 10:00:00,23.8,37,13.2,2025-12-11,10,warm,23.060000000000002
2025-12-11 11:00:00,25.5,30,13.0,2025-12-11,11,warm,24.9
2025-12-11 12:00:00,26.7,26,12.0,2025-12-11,12,warm,26.18
2025-12-11 13:00:00,27.4,24,10.7,2025-12-11,13,warm,26.919999999999998
2025-12-11 14:00:00,27.5,24,9.9,2025-12-11,14,warm,27.02
2025-12-11 15:00:00,27.1,23,9.2,2025-12-11,15,warm,26.64
2025-12-11 16:00:00,26.1,25,7.7,2025-12-11,16,warm,25.6
2025-12-11 17:00:00,22.6,37,4.6,2025-12-11,17,warm,21.860000000000003
2025-12-11 18:00:00,19.3,45,4.6,2025-12-11,18,mild,18.400000000000002
2025-12-11 19:00:00,17.3,50,5.1,2025-12-11,19,mild,16.3
2025-12-11 20:00:00,15.7,55,5.1,2025-12-11,20,mild,14.6
2025-12-11 21:00:00,14.6,59,4.6,2025-12-11,21,mild,13.42
2025-12-11 22:00:00,14.2,61,3.3,2025-12-11,22,mild,12.979999999999999
2025-12-11 23:00:00,13.8,59,2.1,2025-12-11,23,mild,12.620000000000001
